iter	Logloss
0	0.6871650494
1	0.6817379441
2	0.676749546
33	0.672052944	0.6671140282
5	05	0.662662756	06	0.658417337	0.6551039679
8	0.6514074882
9	9	0.64768715410	0.6447865087
11	0.6415968783
12	0.6387386119
13	0.6363007933
14	0.6336833445
15	0.6309569456
16	0.6286269242117	0.6263588574118	0.6241484535119	0.6221325912220	0.6202300415221	0.6184304834222	0.616871226
23	0.6150004066
24	0.6136714664
25	0.6122559446226	0.610724999
27	0.6093887049
28	0.6073294041
29	0.6059260967
30	0.604762399
31	0.6034735893
32	0.6022618248
33	0.6011322119
34	0.6001303884
35	0.5992117447
36	0.5981449095
37	0.5986608815
38	0.5977939075
39	0.5967741026
40	0.5958619641	41	0.5948761115
42	0.5941550745
43	0.5933758982
44	0.5926810482
45	0.5918805493
46	0.5911851
47	0.5904951338
48	0.5898111706
49	0.5891651086
50	0.5884500822
51	0.5878878039
52	0.5873144965
53	0.586616867
54	0.5858988735
55	0.5854038954
56	0.5848004472
57	0.5843709232
58	0.5838378482
59	0.5832218421
60	0.5826377023
61	0.5821133805
62	0.5815259146
63	0.5809869207
64	0.5805463453
65	0.5799723532
66	0.5795503116
67	0.5791166968
68	0.5786352203
69	0.5780964482
70	0.5776751077
71	0.5773352763
72	0.5769684466
73	0.5764406513
74	0.5760634081
75	0.5756366322
76	0.5752646823
77	0.5749276772
78	0.5746197402
79	0.5742384688
80	0.5739067272
81	0.5734840786
82	0.5731056352
83	0.5727561562
84	0.5723854414
85	0.5720180113
86	0.571542416
87	0.5711642306
88	0.5705468921
89	0.5702229512
90	0.5697950779
91	0.5694233837
92	0.5690121701
93	0.568601198
94	0.5680785095	95	0.5678375496	96	0.5674414597	97	0.5669926498	98	0.5666807499	99	0.56645932100100	0.56591296101101	0.56551262102102	0.56501817103103	0.56462820104104	0.56431823105105	0.56402334106106	0.5635472107	107	0.5631950108108	0.5629962109	109	0.5626114110	110	0.5623093111	111	0.5620071112	112	0.5615942113	113	0.5614114114	114	0.5613313115	115	0.5609507116	116	0.5605823117	117	0.5601146118118	0.55978282119119	0.559477671120	0.55928514111121	0.55902319821122	0.55877432
123	0.5585373187
124	0.5581760665
125	0.5578882845
126	0.5576134777
127	0.5573727875
128	0.556959302
129	0.5567687472
130	0.5564581671
131	0.5561978867
132	0.5558122242
133	0.5538933509
134	0.5535786442
135	0.553376235
136	0.5531046476
137	0.5528066414
138	0.5525015649
139	0.5522996524
140	0.5520695431
141	0.5518095976
142	0.5516414358
143	0.5514776081
144	0.5512911753
145	0.5510212981
146	0.5506805707
147	0.5503373276
148	0.5500511107
149	0.5498399546
150	0.5494915871
151	0.5491245082
152	0.5489606194
153	0.548610679
154	0.5483395008
155	0.5481158613
156	0.5478244512
157	0.5474504956
158	0.54711300321159	0.54687549881160	0.54654976
161	0.5460935177
162	0.5457220924
163	0.5455365384
164	0.545405408
165	0.5451281746
166	0.5449281361
167	0.5447419954
168	0.5443626799
169	0.5440682582
170	0.5437512985
171	0.5435640689
172	0.54329369
173	0.5429318061
174	0.5427172278
175	0.5424663927
176	0.542278355
177	0.5420022336
178	0.5417804449
179	0.5413817046
180	0.5411904358
181	0.5408267499
182	0.5405651857
183	0.5402926099
184	0.5400485897
185	0.5398366398
186	0.5395741206
187	0.5393880001
188	0.5390348714
189	0.5386986227
